emotion	rank	id	date	year	era1	era2	value	z_mad	iqr_outlier	text_snippet
Joy	1	3074409X_1913-11-01	1913-11-01	1913	pre war	pre	0.091266	3.686	1	
Joy	2	3074409X_1915-04-01	1915-04-01	1915	war	pre	0.064792	1.816	0	
Joy	3	3074409X_1918-10-01	1918-10-01	1918	war	post	0.019502	-1.383	0	
Joy	4	3074409X_1913-02-01	1913-02-01	1913	pre war	pre	0.020812	-1.291	0	
Joy	5	3074409X_1914-01-01	1914-01-01	1914	pre war	pre	0.051064	0.846	0	
Joy	6	3074409X_1915-12-01	1915-12-01	1915	war	pre	0.049118	0.709	0	
Joy	7	3074409X_1916-02-01	1916-02-01	1916	war	post	0.029172	-0.700	0	
Joy	8	3074409X_1917-12-01	1917-12-01	1917	war	post	0.029900	-0.649	0	
Joy	9	3074409X_1918-02-01	1918-02-01	1918	war	post	0.032909	-0.436	0	
Joy	10	3074409X_1919-07-01	1919-07-01	1919	post war	post	0.044335	0.371	0	
Love	1	3074409X_1915-04-01	1915-04-01	1915	war	pre	0.044010	2.235	0	
Love	2	3074409X_1917-10-01	1917-10-01	1917	war	post	0.009375	-1.384	0	
Love	3	3074409X_1918-02-01	1918-02-01	1918	war	post	0.009554	-1.366	0	
Love	4	3074409X_1919-01-01	1919-01-01	1919	post war	post	0.035000	1.293	0	
Love	5	3074409X_1914-01-01	1914-01-01	1914	pre war	pre	0.034043	1.193	0	
Love	6	3074409X_1914-05-01	1914-05-01	1914	pre war	pre	0.033399	1.126	0	
Love	7	3074409X_1913-02-01	1913-02-01	1913	pre war	pre	0.014568	-0.842	0	
Love	8	3074409X_1913-11-01	1913-11-01	1913	pre war	pre	0.027478	0.507	0	
Love	9	3074409X_1916-03-01	1916-03-01	1916	war	post	0.019084	-0.370	0	
Love	10	3074409X_1919-07-01	1919-07-01	1919	post war	post	0.019704	-0.305	0	
Fear	1	3074409X_1919-07-01	1919-07-01	1919	post war	post	0.004926	-1.787	0	
Fear	2	3074409X_1916-02-01	1916-02-01	1916	war	post	0.035006	1.553	0	
Fear	3	3074409X_1918-10-01	1918-10-01	1918	war	post	0.009751	-1.251	0	
Fear	4	3074409X_1915-04-01	1915-04-01	1915	war	pre	0.012225	-0.977	0	
Fear	5	3074409X_1917-10-01	1917-10-01	1917	war	post	0.028125	0.789	0	
Fear	6	3074409X_1917-12-01	1917-12-01	1917	war	post	0.027685	0.740	0	
Fear	7	3074409X_1914-01-01	1914-01-01	1914	pre war	pre	0.014894	-0.680	0	
Fear	8	3074409X_1919-01-01	1919-01-01	1919	post war	post	0.015000	-0.669	0	
Fear	9	3074409X_1914-05-01	1914-05-01	1914	pre war	pre	0.026523	0.611	0	
Fear	10	3074409X_1913-11-01	1913-11-01	1913	pre war	pre	0.016683	-0.482	0	
Anger	1	3074409X_1919-01-01	1919-01-01	1919	post war	post	0.060000	2.809	1	
Anger	2	3074409X_1916-03-01	1916-03-01	1916	war	post	0.041985	1.283	0	
Anger	3	3074409X_1919-07-01	1919-07-01	1919	post war	post	0.014778	-1.020	0	
Anger	4	3074409X_1918-02-01	1918-02-01	1918	war	post	0.038217	0.964	0	
Anger	5	3074409X_1913-02-01	1913-02-01	1913	pre war	pre	0.037461	0.900	0	
Anger	6	3074409X_1916-02-01	1916-02-01	1916	war	post	0.037340	0.890	0	
Anger	7	3074409X_1913-11-01	1913-11-01	1913	pre war	pre	0.016683	-0.859	0	
Anger	8	3074409X_1917-12-01	1917-12-01	1917	war	post	0.021041	-0.490	0	
Anger	9	3074409X_1915-04-01	1915-04-01	1915	war	pre	0.031785	0.420	0	
Anger	10	3074409X_1914-05-01	1914-05-01	1914	pre war	pre	0.022593	-0.359	0	
Sadness	1	3074409X_1913-11-01	1913-11-01	1913	pre war	pre	0.106968	4.412	0	
Sadness	2	3074409X_1915-12-01	1915-12-01	1915	war	pre	0.089421	3.093	0	
Sadness	3	3074409X_1918-10-01	1918-10-01	1918	war	post	0.078007	2.236	0	
Sadness	4	3074409X_1919-01-01	1919-01-01	1919	post war	post	0.075000	2.010	0	
Sadness	5	3074409X_1914-05-01	1914-05-01	1914	pre war	pre	0.033399	-1.116	0	
Sadness	6	3074409X_1913-02-01	1913-02-01	1913	pre war	pre	0.036420	-0.889	0	
Sadness	7	3074409X_1914-01-01	1914-01-01	1914	pre war	pre	0.038298	-0.748	0	
Sadness	8	3074409X_1917-10-01	1917-10-01	1917	war	post	0.056250	0.601	0	
Sadness	9	3074409X_1916-02-01	1916-02-01	1916	war	post	0.042007	-0.469	0	
Sadness	10	3074409X_1916-03-01	1916-03-01	1916	war	post	0.044529	-0.280	0	
Agitation	1	3074409X_1913-11-01	1913-11-01	1913	pre war	pre	0.021590	-2.738	1	
Agitation	2	3074409X_1916-02-01	1916-02-01	1916	war	post	0.033839	-1.409	0	
Agitation	3	3074409X_1917-12-01	1917-12-01	1917	war	post	0.059801	1.408	0	
Agitation	4	3074409X_1917-10-01	1917-10-01	1917	war	post	0.059375	1.362	0	
Agitation	5	3074409X_1919-07-01	1919-07-01	1919	post war	post	0.034483	-1.339	0	
Agitation	6	3074409X_1914-05-01	1914-05-01	1914	pre war	pre	0.056974	1.102	0	
Agitation	7	3074409X_1915-04-01	1915-04-01	1915	war	pre	0.055012	0.889	0	
Agitation	8	3074409X_1914-01-01	1914-01-01	1914	pre war	pre	0.051064	0.460	0	
Agitation	9	3074409X_1916-03-01	1916-03-01	1916	war	post	0.043257	-0.387	0	
Agitation	10	3074409X_1918-10-01	1918-10-01	1918	war	post	0.043337	-0.378	0	
