id	mean_Agitation	mean_Anger	mean_Fear	mean_Joy	mean_Love	mean_Sadness	year	era1	era2
3074409X_1913-02-01	0.045785639958376693	0.037460978147762745	0.02081165452653486	0.02081165452653486	0.014568158168574402	0.036420395421436005	1913	pre war	pre
3074409X_1913-11-01	0.021589793915603533	0.016683022571148183	0.016683022571148183	0.09126594700686948	0.02747791952894995	0.1069676153091266	1913	pre war	pre
3074409X_1914-01-01	0.05106382978723404	0.02553191489361702	0.014893617021276596	0.05106382978723404	0.03404255319148936	0.03829787234042553	1914	pre war	pre
3074409X_1914-05-01	0.05697445972495088	0.022593320235756387	0.026522593320235755	0.0343811394891945	0.03339882121807466	0.03339882121807466	1914	pre war	pre
3074409X_1915-04-01	0.0550122249388753	0.03178484107579462	0.012224938875305624	0.0647921760391198	0.044009779951100246	0.04767726161369193	1915	war	pre
3074409X_1915-12-01	0.04785894206549118	0.022670025188916875	0.022670025188916875	0.0491183879093199	0.021410579345088162	0.08942065491183879	1915	war	pre
3074409X_1916-02-01	0.0338389731621937	0.03733955659276546	0.03500583430571762	0.029171528588098017	0.021003500583430573	0.042007001166861145	1916	war	post
3074409X_1916-03-01	0.043256997455470736	0.04198473282442748	0.024173027989821884	0.03816793893129771	0.019083969465648856	0.044529262086514	1916	war	post
3074409X_1917-10-01	0.059375	0.028125	0.028125	0.040625	0.009375	0.05625	1917	war	post
3074409X_1917-12-01	0.059800664451827246	0.021040974529346623	0.02768549280177187	0.029900332225913623	0.024363233665559248	0.047619047619047616	1917	war	post
3074409X_1918-02-01	0.045647558386411886	0.03821656050955414	0.021231422505307854	0.032908704883227176	0.009554140127388535	0.04883227176220807	1918	war	post
3074409X_1918-10-01	0.04333694474539545	0.024918743228602384	0.009750812567713976	0.01950162513542795	0.023835319609967497	0.0780065005417118	1918	war	post
3074409X_1919-01-01	0.05	0.06	0.015	0.04	0.035	0.075	1919	post war	post
3074409X_1919-07-01	0.034482758620689655	0.014778325123152709	0.0049261083743842365	0.04433497536945813	0.019704433497536946	0.04926108374384237	1919	post war	post
